Sr. No,Dataset,Usecase,Use Case Description,Prediction Target,Industry,Deep Learning Problem,Data Type,Problem Type,Business Impact,Hydrogen Torch - Instance Link,Dataset Link,HT Owner,APP,Dataset Source,License,Dataset Description (1 liner),Dataset Details,Model Training,Model Predictions,Dir Link,,,,,Snapshot - Charts,Snapshot - Validation Predictions,Download Logs Zip,Download MLOPS Scoring Pipeline
23,Steel Defect Detection,Steel Defect Classification,"Steel Defect Detection model is a computer vision-based system used to identify and classify defects in steel surfaces such as cracks, scratches, and pitting. The model employs image processing techniques and deep learning algorithms to detect and classify the defects accurately. This system is useful for steel manufacturers to ensure the quality of their products and avoid costly repairs and recalls. The model can also be used for predictive maintenance, helping manufacturers identify potential defects before they become severe.",Identify and classify defects in steel surfaces,Manufacturing ,Image Classification,Image,Classification,"Steel defect detection plays a crucial role in the manufacturing and construction industries. By employing advanced imaging techniques and machine learning algorithms, it enables rapid and precise identification of defects in steel products. Early detection of defects such as cracks, corrosion, or uneven surfaces ensures the production of high-quality steel materials, reducing waste, and increasing operational efficiency. Steel defect detection also enhances safety standards, as it helps prevent structural failures and potential hazards. By ensuring the integrity of steel products, it fosters customer satisfaction, maintains industry reputation, and drives business growth.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_segmentation/steel_defect_detection.zip,        Laksika,HT,https://www.kaggle.com/competitions/severstal-steel-defect-detection/data?select=train_images,Attribution 4.0 International (CC BY 4.0),7095 train images with 4 class ids,,,,https://drive.google.com/drive/folders/1LJwl6diUcLhnLr7W51t923M6jpJpXwtY?usp=share_link,,,,,,,,
24,Textile Defect Detection,Textile Defect Classification,"Textile Defect classification model is used to classify defects in textiles as damaged or not damaged. The model uses computer vision and machine learning algorithms to detect and classify defects based on their properties such as shape, size, and texture. This helps manufacturers to identify and remove defective products and ensure product quality. The model can be trained on large datasets of images containing both defective and non-defective textiles to improve its accuracy and efficiency.",Accurately identify whether the textile is damage or not,Manufacturing ,Image Classification,Image,Classification,"Textile defect detection has significant business impact in the textile and fashion industries. By leveraging computer vision and image analysis, it enables automated detection of defects in fabrics and garments during the production process. Timely identification of defects such as holes, stains, or misprints helps maintain product quality and reduces waste. Textile defect detection enhances production efficiency, as it allows for real-time monitoring and quality control, minimizing the need for manual inspection. By ensuring the delivery of defect-free textiles to customers, it enhances brand reputation, customer satisfaction, and overall business profitability.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/textile_damage_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/belkhirnacim/textiledefectdetection,CC BY-NC-SA 4.0,108000 train images with labels (good or damaged),,,,https://drive.google.com/drive/folders/1ADS2l5SlGYCRJsxMuQ0FiSpYvmz-vr1G?usp=share_link,,,,,,,,
25,PCB Defect,PCB Defect object detection,"The PCB Defect model was created using a public synthetic dataset containing 1386 images with 6 different types of defects found in printed circuit boards (PCBs). The aim of this model is to accurately detect and classify these defects, which include missing holes, mouse bites, open circuits, shorts, spurs, and spurious copper. The model was trained using deep learning algorithms and image processing techniques to identify the specific characteristics of each defect type and classify them accordingly. The model is designed to aid in quality control and product analysis in the electronics industry, ensuring that PCBs meet high standards and are free from defects that could affect their performance.","Accurately detect and classify the defects, ",Manufacturing ,Object Detection,Image,Object Detection,"PCB (Printed Circuit Board) defect detection is crucial in the electronics manufacturing industry. By employing advanced computer vision techniques, it enables the automated identification of defects in PCBs, such as short circuits, open circuits, or component misalignment. Timely detection of such defects during the production process ensures the delivery of reliable and high-quality electronic devices. PCB defect detection technology reduces production costs by minimizing the need for manual inspection and rework. It enhances manufacturing efficiency, speeds up the production cycle, and reduces the risk of faulty electronic products reaching the market. Overall, PCB defect detection improves product quality, customer satisfaction, and business competitiveness in the electronics industry.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/object_detection/pcb_defect.zip,        Laksika,HT,https://github.com/tangsanli5201/DeepPCB,MIT License,1500 images with their object labels ['open' 'short' 'mousebite' 'spur' 'copper' 'pin-hole'] ,,,,https://drive.google.com/drive/folders/1eEkpeBHArwxRevziT_xQTihftlUhKfdd?usp=share_link,,,,,,,,
26,Tea Leaves Disease Classification,Tea Leaves Disease Classification,"Tea Leaves Disease Classification model is designed to predict the presence of common diseases in tea leaves using image analysis techniques. With the help of the tea sickness dataset, which contains images of healthy tea leaves and those affected by various diseases, the model can accurately classify the images into their respective disease categories. The model can be used as a tool for early detection and prevention of tea diseases, which is crucial for maintaining tea quality and yield.",Identify and classify the disease in the leaves,Agriculture / AI for Good,Image Classification,Image,Classification,"Accurate classification of tea leaf diseases holds significant business impact in the agriculture industry. By leveraging image recognition and machine learning algorithms, it enables early detection and diagnosis of diseases affecting tea plants. Timely identification of diseases such as fungal infections or pest infestations allows for targeted interventions, reducing crop loss and improving yield. Tea leaves disease classification enhances farm productivity, preserves the quality of tea leaves, and contributes to the sustainability of tea production, ensuring business profitability and maintaining industry standards.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/tea_leaves_disease_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/shashwatwork/identifying-disease-in-tea-leafs,CC BY-NC-SA 4.0,885 images with 8 categories,,,,https://drive.google.com/drive/folders/1x6wBuFqqVEL7pLKLxRDG2HRnHyNHXKrA?usp=share_link,,,,,,,,
27,Brain MRI Segmentation,Brain MRI Segmentation,"The Brain MRI Segmentation model is designed to accurately segment FLAIR abnormality regions in brain MR images. With the help of the brain MRI dataset, which contains images of lower-grade glioma patients with manual segmentation masks, the model can identify and isolate regions of abnormality in the brain. The model can be used as a tool for assisting medical professionals in diagnosing and treating brain tumors, improving patient outcomes and quality of life.",Segment FLAIR abnormality regions in brain MR images,Healthcare,Image Segmentation,Image,Segmentation,"Brain MRI segmentation plays a crucial role in the healthcare industry, specifically in the field of neurology. By utilizing advanced image processing techniques and deep learning algorithms, it enables accurate delineation and identification of different brain structures and abnormalities. Precise brain MRI segmentation aids in the diagnosis and treatment planning for various neurological conditions, including tumors, strokes, or degenerative diseases. It facilitates better understanding of brain anatomy, enhances clinical decision-making, and improves patient outcomes. Brain MRI segmentation technology improves medical imaging workflows, reduces interpretation time, and promotes efficient healthcare delivery.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_segmentation/lgg-mri-segmentation_v1.zip,        Laksika,HT,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,CC BY-NC-SA 4.1,1373 train images with it's segmentation mask,,,,https://drive.google.com/drive/folders/1MKlG7wEbfBEjmmKd2PJXXJ8aysDaJ9Js?usp=share_link,,,,,,,,
28,Casting Defect Classification,Casting Defect Classification,"Casting Defect Classification model uses computer vision techniques to classify images of casting defects into their respective categories. By accurately identifying and classifying the defects, manufacturers can detect and prevent them during the casting process, leading to better product quality and reduced waste. The model can be used as a tool for quality control and inspection in the manufacturing industry.",Accurately detect and classify the casting defects.,Manufacturing ,Image Classification,Image,Classification,"Casting defect classification has a significant impact on the manufacturing and engineering industries. By applying computer vision and machine learning algorithms, it allows for the automated detection and classification of defects in casted components. Early identification of defects such as porosity, cracks, or surface irregularities ensures the production of high-quality casted parts. Casting defect classification enhances manufacturing efficiency, reduces scrap rates, and improves product reliability. It enables timely interventions, minimizing rework and production delays, thereby optimizing manufacturing processes and ensuring customer satisfaction.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/casting_defect_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product,Attribution 4.0 International (CC BY 4.0),1300 images with labels. such as def or ok,,,,https://drive.google.com/drive/folders/1tL1tDW1AjiSApPjcJKonI6Wif8P2yVhV?usp=share_link,,,,,,,,
29,Crowd Counting,Crowd Counting in public,"Crowd counting model is designed to estimate the number of people in a given area or image using computer vision techniques. It is commonly used in various applications such as public safety, crowd management, and event planning. ",Estimate the number of people in a given area,AI for Good,Image Regression,Image,Regression,"Crowd counting technology has widespread applications in various industries, including retail, transportation, and event management. By utilizing computer vision techniques, it enables accurate estimation of crowd sizes in different environments. Crowd counting helps businesses optimize resource allocation, enhance crowd management strategies, and improve overall operational efficiency. It aids in ensuring crowd safety, optimizing staffing levels, and streamlining customer experiences. Crowd counting also provides valuable insights for urban planning, public safety, and marketing strategies, making it a valuable tool for decision-making and business growth.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_regression/crowd_counting.zip,        Laksika,HT,https://www.kaggle.com/datasets/fmena14/crowd-counting,Unknown,2000 images with their value,,,,https://drive.google.com/drive/folders/1MyXJkTj1pZ-QJLi06vMVG5INjKx5FTtr?usp=share_link,,,,,,,,
30,Stamp Detection,Stamp Detection in documents,"Stamp detection model is designed to detect stamps from images using computer vision techniques. With the help of stamp datasets containing images of different stamps, the model can accurately identify and localize the stamps in the input image. The model can be used for various applications, such as stamp authentication and sorting, postal services, and philately. It employs object detection algorithms, including convolutional neural networks and feature extraction methods to recognize and segment the stamps from the background.",Detect Stamps in Documents using Object Detection Techniques,Banking,Image Segmentation,Image,Segmentation,"A stamp detection model offers several valuable benefits to businesses. It automates the process of identifying stamps in documents or images, improving efficiency and accuracy while saving time and costs. It helps prevent fraud by detecting forged or counterfeit stamps, ensuring compliance with regulations. Additionally, it enhances customer experience in industries like postal services by facilitating faster processing. Overall, a stamp detection model provides businesses with increased efficiency, cost savings, fraud prevention, regulatory compliance, and improved customer experience, leading to improved operational effectiveness and a competitive edge.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_segmentation/stamp_detection.zip,        Laksika,HT,https://www.kaggle.com/datasets/rtatman/stamp-verification-staver-dataset,Unknown,400 images with their coordinates,,,,https://drive.google.com/drive/folders/1ANqfA3KqSnrc6U7y3aqwuTy2P_GXNJxe?usp=share_link,,,,,,,,
31,ASL Alphabet Detection,ASL Alphabet Classification,"The ASL Alphabet Detection model is designed to accurately recognize and classify the American Sign Language (ASL) alphabet letters from images. The model uses a convolutional neural network (CNN) architecture and is trained on a dataset of ASL alphabet images to learn the distinctive features of each letter. The model can be used to help individuals with hearing or speech impairments to communicate more effectively by accurately recognizing and interpreting their hand signs. Additionally, the model can be used in educational settings to teach ASL or in research for sign language recognition",Accurately recognize and classify the American Sign Language (ASL) alphabet letters from images.,AI for Good,Image Classification,Image,Classification,"ASL (American Sign Language) alphabet detection has a significant impact on accessibility and communication for the deaf and hard of hearing community. By leveraging computer vision and deep learning techniques, it enables real-time detection and recognition of ASL hand gestures representing different alphabet letters. ASL alphabet detection technology enhances communication and inclusivity by providing a means for individuals to express themselves and interact with others effectively. It supports the development of applications and devices that facilitate seamless communication between ASL users and non-ASL users, promoting equal participation and bridging communication barriers.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/asl_alphabet_train.zip,        Laksika,HT,https://www.kaggle.com/datasets/grassknoted/asl-alphabet,GPL 2,"87000 train data with their 29 different labels (A-Z,del,nothing,space)",,,,https://drive.google.com/drive/folders/1XPIILs9rjRYKSW--2f9GCkb3LD_oXijJ?usp=share_link,,,,,,,,
32,Crop Classification,Crop Classification,"Crop classification model is an image classification model designed to identify different types of crops in an agricultural field using computer vision techniques. By analyzing the visual features of crops in the images, the model can accurately classify them into different categories, such as wheat, corn, soybean, and more. This model can be used in precision agriculture to monitor crop growth, yield, and health, and to make informed decisions for crop management.",Identify different types of crops in an agricultural field,Agriculture / AI for Good,Image Classification,Image,Classification,"Crop classification plays a crucial role in agriculture and precision farming. By utilizing remote sensing data, machine learning algorithms, and satellite imagery, it enables the identification and classification of different crop types in large agricultural areas. Accurate crop classification provides valuable insights into crop health, growth stages, and yield estimation. It assists farmers in making informed decisions regarding crop management, resource allocation, and optimizing agricultural practices. Crop classification technology promotes efficient resource utilization, sustainable farming practices, and improved crop productivity, contributing to food security and agricultural sustainability.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/Agricultural-crops.zip,        Laksika,HT,https://www.kaggle.com/datasets/mdwaquarazam/agricultural-crops-image-classification,CC0: Public Domain,829 train images with 30 different classes,,,,https://drive.google.com/drive/folders/1uyFoE9sslbiWj0FInYfSXz1ObRv2szOi?usp=share_link,,,,,,,,
33,Road Detection,Road Detection in urban areas,"Road detection models are essential for various applications, such as urban planning, transportation management, and autonomous driving. In urban areas, where roads can be complex and diverse, road detection from satellite images is a challenging task. This is because satellite images may contain various objects and features, such as buildings, trees, and cars, which can interfere with road detection. To overcome these challenges, the road detection model uses image processing techniques and machine learning algorithms to accurately identify and classify road segments in urban areas. The model can be trained on large datasets of satellite images labeled with road and non-road segments, and it can then be used to classify new satellite images for road detection applications.",Detect the roads in urban areas,AI for Good,Image Segmentation,Image,Segmentation,"Road detection technology is essential in the fields of autonomous driving, transportation planning, and infrastructure development. By analyzing aerial or satellite imagery using computer vision algorithms, it enables the automated identification and mapping of roads and road networks. Accurate road detection supports navigation systems, intelligent transportation systems, and urban planning initiatives. It aids in route planning, traffic management, and infrastructure maintenance. Road detection technology enhances road safety, improves transportation efficiency, and contributes to the development of smart cities and advanced transportation solutions.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_segmentation/road_data.zip,        Laksika,HT,https://www.kaggle.com/datasets/balraj98/deepglobe-road-extraction-dataset,,"6226 train images with class id ''road""",,,,https://drive.google.com/drive/folders/1SproEy4RNDvh4LxSUNtHjr4H47o9Jnfz?usp=share_link,,,,,,,,
34,Weather Classification,Weather Classification,"A Weather Classification model is a type of image classification model that can categorize different weather conditions based on input images. The model can be trained on datasets of images that represent various weather conditions, such as sunny, cloudy, rainy, snowy, foggy, and stormy. Once the model is trained, it can be used to classify new images of weather conditions with high accuracy, which can be useful for a variety of applications such as weather forecasting, climate modeling, and transportation safety.",Identify and Classify the weather,AI for Good,Image Classification,Image,Classification,"Weather classification has a wide range of applications in industries such as agriculture, aviation, energy, and tourism. By analyzing meteorological data, satellite imagery, and machine learning algorithms, it enables the categorization and prediction of different weather conditions. Accurate weather classification supports decision-making processes related to crop management, flight operations, energy production, and tourism planning. It helps in assessing risks, optimizing resource allocation, and ensuring safety measures in various industries. Weather classification technology facilitates better planning, preparedness, and mitigation strategies for weather-related events, contributing to operational efficiency, safety, and economic stability.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/weather_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/vijaygiitk/multiclass-weather-dataset,CC0: Public Domain,"1491 train images with 6 labels. such as alien_test,cloudy,foggy,rainy,shine,sunrise,",,,,https://drive.google.com/drive/folders/15jk5N8ptYBVIgs7GHiA_o-hy0CfIrRRm?usp=share_link,,,,,,,,
35,Wind Turbines Object Detection,Wind Turbines Object Detection,"A Wind Turbines Object Detection model is used to identify and locate wind turbines in images. The model uses deep learning algorithms and image processing techniques to detect the presence and location of wind turbines in the image. It can be used for various applications such as renewable energy planning, maintenance scheduling, and environmental impact assessment. The model works by analyzing the image pixel by pixel and identifying patterns and shapes that resemble wind turbines. ",Detect the wind turbines using object detection techniques,AI for Good,Object Detection,Image,Object Detection,"Wind turbines object detection technology plays a crucial role in the renewable energy sector. By leveraging computer vision techniques, it enables the detection and localization of wind turbines in aerial or satellite imagery. Accurate wind turbines object detection aids in site selection, monitoring, and maintenance of wind farms. It assists in optimizing energy production, detecting potential issues or malfunctions, and ensuring proper functioning of wind turbines. Wind turbines object detection technology contributes to the efficient utilization of renewable energy resources, supports sustainable energy production, and helps in achieving climate change mitigation goals.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/object_detection/wind_turbines_detection.zip,        Laksika,HT,https://www.kaggle.com/datasets/kylegraupe/wind-turbine-image-dataset-for-computer-vision,CC0: Public Domain,2628 train images with their class ids,,,,https://drive.google.com/drive/folders/1XD21KRBRmwSCcXg1rmJ_SxNk3RK5PShB?usp=share_link,,,,,,,,
36,Skin Cancer Segmentation,Skin Cancer Segmentation,"A Skin Cancer image Segmentation model is a powerful tool for accurately detecting and segmenting skin lesions in medical images. By analyzing the images with advanced machine learning algorithms, the model can accurately identify and isolate the cancerous regions from the rest of the skin. This helps in early detection and diagnosis of skin cancer, which is crucial for effective treatment and prevention. The model can be used in hospitals, clinics, and other medical facilities to assist dermatologists and other healthcare professionals in diagnosing skin cancer.",Accurately detecting and segmenting skin lesions in medical images,Healthcare,Image Segmentation,Image,Segmentation,"Skin cancer segmentation has a significant impact on the field of dermatology and healthcare. By utilizing computer vision and deep learning algorithms, it enables the accurate identification and segmentation of skin cancer lesions from medical images. Precise segmentation assists dermatologists in diagnosing and monitoring skin cancer, improving the efficiency and accuracy of treatment plans. Skin cancer segmentation technology enhances early detection, promotes timely intervention, and contributes to improved patient outcomes, reducing the burden of skin cancer on individuals and healthcare systems.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_segmentation/skin_cancer_segmentation.zip,        Laksika,HT,https://www.kaggle.com/datasets/surajghuwalewala/ham1000-segmentation-and-classification,Attribution 4.0 International (CC BY 4.0),10015 train images with their masks,,,,https://drive.google.com/drive/folders/1ggyuWEl2JPsi3-A-JePxPCagqConEwKP?usp=share_link,,,,,,,,
37,Bird Voice Classification,Bird Voice Classification,"The Bird Voice Classification model is a machine learning model designed to identify and classify bird species based on their vocalizations. By analyzing bird calls and songs, the model can accurately identify different bird species and distinguish them from one another. This model can be useful for ecological studies, birdwatching, and conservation efforts, as it can provide information about the presence and abundance of different bird species in an area. Additionally, the model can be used to track changes in bird populations over time and monitor the impact of environmental factors on bird behavior and vocalizations.",Accurately identify the bird by using it's voice,AI for Good,Audio Classification,Audio,Classification,"Bird voice classification plays a crucial role in ornithology, ecological research, and biodiversity conservation. By leveraging audio signal processing techniques and machine learning algorithms, it enables the identification and classification of bird species based on their vocalizations. Accurate bird voice classification assists researchers in studying bird populations, monitoring habitats, and assessing ecological health. It supports conservation efforts, species monitoring, and understanding the impact of environmental changes on bird populations. Bird voice classification technology contributes to biodiversity preservation, ecological research, and the conservation of avian species.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/audio_classification/whale_detection.zip,        Laksika,HT,https://www.kaggle.com/datasets/soumendraprasad/sound-of-114-species-of-birds-till-2022,CC0: Public Domain,5407 train images and 687 test images with 41 uniques labels,,,,https://drive.google.com/drive/folders/10uXWLm6emHmvRq-rYv0BP7fXAfJdpOtJ?usp=share_link,,,,,,,,
38,Urban Sound Classification,Urban Sound Classification,"The Urban Sound Classification model is designed to classify audio signals into different sound categories commonly heard in urban environments such as sirens, car horns, and street music. The model uses audio signal processing techniques and machine learning algorithms to extract features such as frequency, pitch, and amplitude from audio samples and then trains a classifier to recognize patterns in these features and categorize them into their respective sound classes. The model has applications in noise pollution monitoring, city planning, and urban soundscape analysis.",Classify audio signals into different sound categories commonly heard in urban environments,AI for Good,Audio Classification,Audio,Classification,"Urban sound classification has practical applications in urban planning, noise pollution management, and public health. By analyzing audio recordings using machine learning algorithms, it enables the classification and identification of different urban sounds, such as traffic noise, sirens, construction noise, and public transport sounds. Accurate urban sound classification aids in assessing noise pollution levels, identifying noise sources, and implementing mitigation strategies. It supports urban planning initiatives, noise regulation enforcement, and the improvement of living conditions in urban areas. Urban sound classification technology contributes to creating healthier and more livable cities.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/audio_classification/urban_sound_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/huseyngorbani1/urbansound8k, CC BY-NC 3.0,8732 train images with 10 uniques labels,,,,https://drive.google.com/drive/folders/1z-AJJJVqWXoaH0K1n8dbINfEOjllRSFA?usp=share_link,,,,,,,,
39,Printer Defect Detection,Printer Defect Detection,"The Printer Defect Detection model uses the provided dataset to identify and classify anomalies in 3D printer operations. The dataset contains two categories: defected and non-defected. Using machine learning algorithms and image processing techniques, the model can accurately detect defects in the printer operation and classify them accordingly. This model can be useful in the quality control of 3D printing processes, allowing for early detection and correction of defects, and improving the overall efficiency of the printing process.",Detect malicious defects in 3D printer operations,AI for Good,Image Classification,Image,Classification,"Printer defect detection has a direct impact on the printing industry, quality control processes, and customer satisfaction. By analyzing printed images or documents using computer vision techniques, it enables the automated detection of defects, such as misprints, ink smudges, or color inaccuracies. Effective printer defect detection ensures the delivery of high-quality printed materials, reducing waste and production costs. It helps in maintaining brand reputation, meeting customer expectations, and minimizing the need for reprints. Printer defect detection technology enhances printing efficiency, quality control measures, and customer satisfaction.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/3D_printer_defect_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/justin900429/3d-printer-defected-dataset,CC BY-NC-SA 4.0,1507 train images with defected or no_defected labels,,,,https://drive.google.com/drive/folders/1Jy-UFtqMloFsOT9mivuorpZ_ECiEIBqF?usp=share_link,,,,,,,,
40,AI Generated Image Detection,AI Generated Image Detection,"An AI Generated Image Detection model is designed to classify whether an image is generated by an AI or not. With the increasing use of generative models such as GANs and StyleGANs, it has become difficult to distinguish between real and AI-generated images. The model uses machine learning algorithms to identify specific features and patterns that are commonly found in AI-generated images, such as unusual color gradients and pixelation. By accurately classifying images as AI-generated or not, the model can be useful in detecting fake images and preventing their spread. This can be particularly important in areas such as journalism and forensics where the authenticity of images is crucial.",Classify whether an image is generated by an AI or not,AI for Good,Image Classification,Image,Classification,"AI generated image detection plays a crucial role in addressing the challenges associated with fake or manipulated images. By employing image analysis techniques and deep learning algorithms, it enables the detection and identification of AI-generated or manipulated images. Accurate detection of AI-generated images assists in combating misinformation, protecting intellectual property rights, and ensuring the authenticity of visual content. AI generated image detection technology supports content verification, integrity, and trustworthiness, fostering a more reliable and secure digital environment.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/ai-generated-image-detection.zip,        Laksika,HT,https://www.kaggle.com/datasets/birdy654/cifake-real-and-ai-generated-synthetic-images,MIT License,100000 train images and 20000 test images with 2 labels [ fake or real ] ,,,,https://drive.google.com/drive/folders/1L7JU-iE6z9du3lv4xr093nZWOs4PA1Hj?usp=share_link,,,,,,,,
41,Lane Detection for Driving,Lane Detection for Driving,"Lane detection for driving is a technique used in autonomous vehicles to identify and track the lanes on the road. This is done using image segmentation, where the lanes are isolated from the rest of the image. The lane detection model analyzes the input image, identifies the lane markers, and generates an output image with the lane markers highlighted. This information is then used by the autonomous vehicle to maintain its position within the lane and navigate the road safely. Lane detection is a critical component of autonomous driving, as it helps ensure the safety of passengers and other drivers on the road.",Identify and segment the lanes on the road.,AI for Good,Image Segmentation,Image,Segmentation,"Lane detection technology has a significant impact on the field of autonomous driving, advanced driver-assistance systems (ADAS), and road safety. By analyzing live or recorded video feeds from cameras mounted on vehicles, it enables the detection and tracking of lane markings on the road. Accurate lane detection assists in vehicle positioning, lane keeping, and autonomous navigation. It enhances road safety by providing warnings and assistance to drivers in maintaining their lanes. Lane detection technology contributes to the development of safer and more efficient transportation systems, reducing the risk of accidents and improving traffic flow.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_segmentation/lane-detection.zip,        Laksika,HT,https://www.kaggle.com/datasets/thomasfermi/lane-detection-for-carla-driving-simulator,CC BY-NC-SA 4.0,3075 train images and 129 test images with 3 uniques segmentation labels ['left-lane' 'right-lane' 'background'],,,,https://drive.google.com/drive/folders/1ewJgl39t32vBhnWpOcXGe3t2rPWz__QN?usp=share_link,,,,,,,,
42,Audio Emotion Detection,Audio Emotion Detection,"Audio Emotion Detection model is designed to recognize human emotions from audio signals. With the help of various audio datasets, the model can be trained to identify different emotions such as happiness, sadness, anger, fear, and more. This technology can be applied in various industries such as entertainment, healthcare, and customer service to improve user experience and engagement. For example, in the entertainment industry, the model can be used to recommend music playlists based on the user's mood. In healthcare, the model can be used to detect emotions in patients' voices and provide personalized treatment plans accordingly. Similarly, in customer service, the model can be used to detect the customer's emotions during a call and provide customized solutions to improve customer satisfaction.",Classify human emotions from audio signals,AI for Good,Audio Classification,Audio,Classification,"Audio emotion detection has applications in various fields, including psychology, mental health, and market research. By analyzing speech signals using machine learning algorithms, it enables the identification and classification of emotions conveyed in audio recordings. Accurate audio emotion detection assists in understanding human emotions, facilitating psychological research, and supporting mental health assessments. It also has potential applications in market research, enabling companies to gauge customer sentiment and emotional responses to products or services. Audio emotion detection technology enhances emotional understanding, psychological analysis, and market insights.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/audio_classification/audio_emotion_detection.zip,        Laksika,HT,https://www.kaggle.com/datasets/suso172/arabic-natural-audio-dataset,CC BY-NC-SA 4.0,"12798 train images with 7 uniques labels [Angry, Disgusted, Fearful,Happy,Neutral,Sad,Suprised]",,,,https://drive.google.com/drive/folders/1OBF4XaEVKoF4X9rIe4eSMmvhiXS5OnTI?usp=share_link,,,,,,,,
43,Document Classification,Document Classification,"A Document Classification model is a machine learning model that can automatically classify different types of documents based on their content. In this case, the model is trained to classify documents into three categories: emails, scientific papers, and letters. The model analyzes the text and structure of each document and assigns it to the appropriate category based on patterns and features it has learned from a large training dataset. This model can be useful for businesses and organizations that deal with large volumes of documents and need to organize them efficiently",Classify different types of documents based on their content,AI for Good,Image Classification,Image,Classification,"Document classification has a wide range of applications in industries such as legal,financial services, healthcare, and information management. By utilizing natural language processing and machine learning techniques, document classification enables the automated categorization and organization of textual documents based on their content and purpose. Accurate document classification streamlines information retrieval, enhances data management processes, and improves operational efficiency. In the legal industry, it supports document discovery, case management, and contract analysis. In financial services, it aids in fraud detection, risk assessment, and compliance with regulatory requirements. In healthcare, it facilitates patient record management and medical coding. Document classification technology contributes to enhanced productivity, data accuracy, and regulatory compliance across various industries.",https://internal.dedicated.h2o.ai/instance/d224ed57-7fb7-4d9e-a877-2de6681f4303/,s3://apac-cds/ht_datasets/image_classification/document_classification.zip,        Laksika,HT,https://www.kaggle.com/datasets/ritvik1909/document-classification-dataset,CC0: Public Domain,"165 train images with 3 uniques labels [scientific_publication, email, resume]",,,,https://drive.google.com/drive/folders/16GpXXuVOeTYkou1-bEouE9_mfV_GJbJL?usp=share_link,,,,,,,,
